taue,taui,alpha,speed,gei,gii,tauC,r_tot,r_psd,r_sp,sub,flag,status,success
7.143413015916087794e+00,2.000000000000000000e+02,6.849020300003351158e-01,5.299999999999999822e+00,7.588105166111517974e+00,5.000000000000000000e-01,1.440892970784999427e+01,1.477377261340778958e+00,9.012279058857743941e-01,5.761493554550045637e-01,0.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.584360044794203226e+01,2.000000000000000000e+02,1.000000000000000056e-01,3.045230135388087067e+00,5.757202597041873204e+00,5.000000000000000000e-01,1.032714039037898779e+01,1.481406541474632910e+00,8.909346426198266888e-01,5.904718988548062208e-01,1.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.223761045739050779e+01,2.692793775867865591e+01,1.000000000000000000e+00,3.037145019137339474e+00,1.833977749801358748e+00,4.735056102355066798e+00,7.486204394632665959e+00,1.507927724284140902e+00,9.334725626683367805e-01,5.744551616158041218e-01,2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.021435068443518368e+01,7.195877891738030030e+01,1.000000000000000056e-01,3.042541030681642500e+00,1.000000000000000000e+01,1.000000000000000000e+01,1.888300413979125381e+01,1.454167062737971694e+00,8.738386924794019350e-01,5.803283702585696480e-01,3.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.314115561220955009e+01,5.000000000000000000e+00,1.000000000000000056e-01,2.695477692364883548e+00,6.744144260958714554e+00,7.336769269214423517e+00,2.053926334759722394e+01,1.552170061179416027e+00,8.552886948530855626e-01,6.968813663263305758e-01,4.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.084778315206260402e+01,4.340616823065320773e+01,1.000000000000000000e+00,3.412715716149876233e+00,5.032225272845048281e+00,9.265333730591217787e+00,7.862755484460368649e+00,1.475936067922392070e+00,9.236663389552477454e-01,5.522697289671443244e-01,5.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.801788576688843690e+01,5.579175542370186491e+01,1.000000000000000000e+00,1.715131251269102597e+00,3.178996082510666454e+00,1.000000000000000000e+01,1.506599289788568896e+01,1.493155646014061366e+00,9.145168191127135415e-01,5.786388269013478247e-01,6.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.528857627261253072e+01,1.900688142726799867e+02,1.000000000000000000e+00,2.005558939250932760e+00,2.821604849647137758e+00,5.000000000000000000e-01,1.529783540933837394e+01,1.435566502618272677e+00,8.821444743083225459e-01,5.534220283099501314e-01,7.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.928043595707798730e+01,6.495760676258529998e+01,9.214627709301073111e-01,3.409177362364478547e+00,3.111269305315695455e+00,1.000000000000000000e+01,7.493909419432081442e+00,1.507578733732822140e+00,9.092269487088872060e-01,5.983517850239350455e-01,8.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.136921632257965342e+01,7.862183132547947650e+01,1.000000000000000000e+00,5.299999999999999822e+00,7.817232443422932775e+00,7.218768413369293313e+00,2.386629595844680551e+01,1.553024811464748023e+00,9.008781848081155452e-01,6.521466266566324776e-01,9.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.271259433746115697e+01,7.806552053488610454e+01,8.497182487719461275e-01,2.980499830185937338e+00,1.000000000000000000e+01,1.000000000000000000e+01,6.997422116130638692e+00,1.549470102273933891e+00,9.000560427094969063e-01,6.494140595644369851e-01,1.000000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
7.386021442889221689e+00,1.345890789612359484e+01,1.000000000000000056e-01,3.041507034515181118e+00,1.021177933189193254e+00,6.670531067513397971e+00,1.257442608000210349e+01,1.480117887430611567e+00,9.056182115024177248e-01,5.744996759281938425e-01,1.100000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.588213329363907356e+01,5.018003266060328826e+01,1.000000000000000000e+00,3.061529550243606401e+00,3.085298967604477305e+00,1.000000000000000000e+01,6.889419961899620581e+00,1.492354421989129598e+00,9.212167658438756845e-01,5.711376561452538025e-01,1.200000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.004178839132162082e+01,1.930747466986733230e+01,1.000000000000000056e-01,2.709438021732920809e+00,2.145672847878792311e+00,6.653415893885865628e+00,2.705029014815861643e+01,1.530861460736086421e+00,9.214657945399971073e-01,6.093956661960892029e-01,1.300000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
3.000000000000000000e+01,7.387748087838709843e+00,1.000000000000000000e+00,5.111141139097532538e+00,5.000000000000000000e-01,8.353449273146611453e-01,1.579971662740950222e+01,1.322236764068715820e+00,8.931172452613078683e-01,4.291195188074079514e-01,1.400000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
8.140272639143095290e+00,4.203788659582450293e+01,1.000000000000000000e+00,5.299999999999999822e+00,5.000000000000000000e-01,4.147922289020081976e+00,1.601776788967522691e+01,1.501158734454727028e+00,9.101202249709323677e-01,5.910385094837946607e-01,1.500000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
6.841394167328304299e+00,4.946372752310313103e+01,1.000000000000000000e+00,5.299999999999999822e+00,5.000000000000000000e-01,5.434763141093277738e+00,1.387142549500832800e+01,1.566860308660974699e+00,9.182761964474973615e-01,6.485841122134773373e-01,1.600000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.333918645042992068e+00,9.619750322692058830e+01,1.000000000000000056e-01,2.728938238763243707e+00,5.000000000000000000e-01,1.000000000000000000e+01,1.936387261341468857e+01,1.466309059334670817e+00,9.170274202515678041e-01,5.492816390831031237e-01,1.700000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
3.000000000000000000e+01,2.828368932031217398e+01,1.000000000000000056e-01,3.033883498225762754e+00,4.993306519280750422e+00,1.000000000000000000e+01,1.670394144951571747e+01,1.406789521118884556e+00,8.773051684045436449e-01,5.294843527143409112e-01,1.800000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
7.374032928595260827e+00,2.000000000000000000e+02,1.000000000000000000e+00,5.299999999999999822e+00,5.363540434842920313e+00,5.000000000000000000e-01,1.423162407885916991e+01,1.437599917463287635e+00,9.093507148302882870e-01,5.282492026329993484e-01,1.900000000000000000e+01,4.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.424878485400508943e+01,1.873658068895364579e+02,1.000000000000000056e-01,2.709299075358060804e+00,4.628575227020729876e+00,5.000000000000000000e-01,2.550488204607919940e+01,1.507375545540852180e+00,9.273638561861071716e-01,5.800116893547450081e-01,2.000000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
6.890165027620334115e+00,6.152468955952194563e+01,1.000000000000000000e+00,5.299999999999999822e+00,1.000000000000000000e+01,1.000000000000000000e+01,1.657542692399729845e+01,1.380889216817549059e+00,8.546262638125898814e-01,5.262629530049592885e-01,2.100000000000000000e+01,4.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.714896049277638568e+01,5.491429753911587142e+01,3.924586555869859494e-01,3.053332706865455215e+00,3.121816152596851079e+00,1.000000000000000000e+01,7.264517891377818337e+00,1.480156530965292427e+00,9.144104116939457683e-01,5.657461192713466591e-01,2.200000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.432244977108864958e+01,1.999406048151430184e+02,1.000000000000000000e+00,5.299999999999999822e+00,4.449641460741903920e+00,3.607579382782550859e+00,1.544806974115353881e+01,1.445407615585223127e+00,9.188793127046591680e-01,5.265283028805639587e-01,2.300000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.758726355595364410e+01,6.555551097752579892e+01,1.275290402127597644e-01,2.699085099407555255e+00,4.950454120866801588e+00,1.000000000000000000e+01,5.668132437823637737e+00,1.483160431625048847e+00,8.063521731528884295e-01,6.768082584721605288e-01,2.400000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
7.845849488937608918e+00,2.000000000000000000e+02,1.000000000000000000e+00,5.299999999999999822e+00,5.611513153867210058e+00,5.000000000000000000e-01,1.442484821905740944e+01,1.476916853240589411e+00,8.714108130088098481e-01,6.055060402317795631e-01,2.500000000000000000e+01,4.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.958499238284507271e+01,6.512014731384680033e+01,4.057249620613619934e-01,3.044374800936375802e+00,3.198565899787570110e+00,1.000000000000000000e+01,7.714043434884286121e+00,1.507508949104816143e+00,9.157285218786860304e-01,5.917804272261301124e-01,2.600000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.432638571930974436e+01,2.049851786816331156e+01,1.000000000000000056e-01,2.734345499746247299e+00,1.216457159385571973e+00,8.718774937430255889e+00,3.000000000000000000e+01,1.397296578487890351e+00,9.095419620336153699e-01,4.877546164542750362e-01,2.700000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
7.468377257583825646e+00,2.000000000000000000e+02,1.000000000000000056e-01,3.069832574514286705e+00,6.308017107238727661e+00,5.000000000000000000e-01,1.692361627573184535e+01,1.421851821335452737e+00,9.047265069309444740e-01,5.171253144045083738e-01,2.800000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.545875569209934497e+01,2.299368790509353033e+01,1.000000000000000056e-01,2.692587573131608458e+00,5.000000000000000000e-01,8.814019483959340207e+00,3.000000000000000000e+01,1.560438741730815870e+00,9.406825500666392559e-01,6.197561916641765034e-01,2.900000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
8.040755030109902890e+00,4.548285739743725031e+01,1.000000000000000000e+00,1.702132401852820554e+00,5.000000000000000000e-01,2.419225350571749811e+00,1.521262208207885713e+01,1.658740785161449738e+00,9.360416876272481534e-01,7.226990975342015844e-01,3.000000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
7.838506527438928728e+00,2.606581389850683905e+01,1.000000000000000000e+00,5.299999999999999822e+00,1.329664772896314906e+00,8.279290147918091369e-01,1.435224160778096625e+01,1.391461746610195949e+00,9.103043668794810195e-01,4.811573797307149847e-01,3.100000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
7.078856086510729284e+00,2.452873364685899915e+01,1.000000000000000000e+00,2.234183907078962861e+00,1.061993517786780750e+00,7.768478072390905265e-01,1.349923369295621534e+01,1.430267080522408918e+00,8.645027166653268536e-01,5.657643638570821754e-01,3.200000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
7.270963747165741786e+00,8.315229303060735333e+01,1.000000000000000000e+00,1.699999999999999956e+00,6.859375708144553885e-01,1.000000000000000000e+01,1.500426709830700922e+01,1.530556933494101601e+00,9.161809186073894828e-01,6.143760148867121185e-01,3.300000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
3.000000000000000000e+01,1.983314205686168208e+01,1.000000000000000000e+00,5.299999999999999822e+00,5.702500883945161192e+00,1.000000000000000000e+01,1.380791029982136564e+01,1.500870837239302702e+00,8.931326626399005431e-01,6.077381745994021589e-01,3.400000000000000000e+01,4.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.486640335207548347e+01,7.687677065180523073e+01,1.000000000000000056e-01,2.708806817737998252e+00,6.836255005691461051e+00,5.000000000000000000e-01,2.870815281072910352e+01,1.467187148488768855e+00,8.985587841404828469e-01,5.686283643482858974e-01,3.500000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
